id;name;cityId
1;Bakongan;1
2;Kluet Utara;1
3;Kluet Selatan;1
4;Labuhanhaji;1
5;Meukek;1
6;Samadua;1
7;Sawang;1
8;Tapaktuan;1
9;Trumon;1
10;Pasi Raja;1
11;Labuhan Haji Timur;1
12;Labuhan Haji Barat;1
13;Kluet Tengah;1
14;Kluet Timur;1
15;Bakongan Timur;1
16;Trumon Timur;1
17;Kota Bahagia;1
18;Trumon Tengah;1
19;Lawe Alas;2
20;Lawe Sigala-Gala;2
21;Bambel;2
22;Babussalam;2
23;Badar;2
24;Babul Makmur;2
25;Darul Hasanah;2
26;Lawe Bulan;2
27;Bukit Tusam;2
28;Semadam;2
29;Babul Rahmah;2
30;Ketambe;2
31;Deleng Pokhkisen;2
32;Lawe Sumur;2
33;Tanoh Alas;2
34;Leuser;2
35;Darul Aman;3
36;Julok;3
37;Idi Rayeuk;3
38;Birem Bayeun;3
39;Serbajadi;3
40;Nurussalam;3
41;Peureulak;3
42;Rantau Selamat;3
43;Simpang Ulim;3
44;Ranto Peureulak;3
45;Pante Bidari;3
46;Madat;3
47;Indra Makmu;3
48;Idi Tunong;3
49;Banda Alam;3
50;Peudawa;3
51;Peureulak Timur;3
52;Peureulak Barat;3
53;Sungai Raya;3
54;Simpang Jernih;3
55;Darul Ihsan;3
56;Darul Falah;3
57;Idi Timur;3
58;Peunaron;3
59;Linge;4
60;Silih Nara;4
61;Bebesen;4
62;Pegasing;4
63;Bintang;4
64;Ketol;4
65;Kebayakan;4
66;Kute Panang;4
67;Celala;4
68;Laut Tawar;4
69;Atu Lintang;4
70;Jagong Jeget;4
71;Bies;4
72;Rusip Antara;4
73;Johan Pahlawan;5
74;Kaway XVI;5
75;Sungai Mas;5
76;Woyla;5
77;Samatiga;5
78;Bubon;5
79;Arongan Lambalek;5
80;Pante Ceureumen;5
81;Meureubo;5
82;Woyla Barat;5
83;Woyla Timur;5
84;Panton Reu;5
85;Lhoong;6
86;Lhoknga;6
87;Indrapuri;6
88;Seulimeum;6
89;Montasik;6
90;Sukamakmur;6
91;Darul Imarah;6
92;Peukan Bada;6
93;Mesjid Raya;6
94;Ingin Jaya;6
95;Kuta Baro;6
96;Darussalam;6
97;Pulo Aceh;6
98;Lembah Seulawah;6
99;Kota Jantho;6
100;Kuta Cot Glie;6
101;Kuta Malaka;6
102;Simpang Tiga;6
103;Darul Kamal;6
104;Baitussalam;6
105;Krueng Barona Jaya;6
106;Leupung;6
107;Blang Bintang;6
108;Batee;7
109;Delima;7
110;Geumpang;7
111;Glumpang Tiga;7
112;Indrajaya;7
113;Kembang Tanjong;7
114;Kota Sigli;7
115;Mila;7
116;Muara Tiga;7
117;Mutiara;7
118;Padang Tiji;7
119;Peukan Baro;7
120;Pidie;7
121;Sakti;7
122;Simpang Tiga;7
123;Tangse;7
124;Tiro/Truseb;7
125;Keumala;7
126;Mutiara Timur;7
127;Grong-grong;7
128;Mane;7
129;Glumpang Baro;7
130;Titeue;7
131;Baktiya;8
132;Dewantara;8
133;Kuta Makmur;8
134;Lhoksukon;8
135;Matangkuli;8
136;Muara Batu;8
137;Meurah Mulia;8
138;Samudera;8
139;Seunuddon;8
140;Syamtalira Aron;8
141;Syamtalira Bayu;8
142;Tanah Luas;8
143;Tanah Pasir;8
144;T. Jambo Aye;8
145;Sawang;8
146;Nisam;8
147;Cot Girek;8
148;Langkahan;8
149;Baktiya Barat;8
150;Paya Bakong;8
151;Nibong;8
152;Simpang Kramat;8
153;Lapang;8
154;Pirak Timur;8
155;Geuredong Pase;8
156;Banda Baro;8
157;Nisam Antara;8
158;Simeulue Tengah;9
159;Salang;9
160;Teupah Barat;9
161;Simeulue Timur;9
162;Teluk Dalam;9
163;Simeulue Barat;9
164;Teupah Selatan;9
165;Alafan;9
166;Teupah Tengah;9
167;Simeulue Cut;9
168;Pulau Banyak;10
169;Simpang Kanan;10
170;Singkil;10
171;Gunung Meriah;10
172;Kota Baharu;10
173;Singkil Utara;10
174;Danau Paris;10
175;Suro Makmur;10
176;Singkohor;10
177;Kuala Baru;10
178;Pulau Banyak Barat;10
179;Samalanga;11
180;Jeunieb;11
181;Peudada;11
182;Jeumpa;11
183;Peusangan;11
184;Makmur;11
185;Gandapura;11
186;Pandrah;11
187;Juli;11
188;Jangka;11
189;Simpang Mamplam;11
190;Peulimbang;11
191;Kota Juang;11
192;Kuala;11
193;Peusangan Siblah Krueng;11
194;Peusangan Selatan;11
195;Kuta Blang;11
196;Blangpidie;12
197;Tangan-Tangan;12
198;Manggeng;12
199;Susoh;12
200;Kuala Batee;12
201;Babah Rot;12
202;Setia;12
203;Jeumpa;12
204;Lembah Sabil;12
205;Blangkejeren;13
206;Kutapanjang;13
207;Rikit Gaib;13
208;Terangun;13
