id;name;districtId
1;Keude Bakongan;1
2;Ujong Mangki;1
3;Ujong Padang;1
4;Gampong Drien;1
5;Darul Ikhsan;1
6;Padang Beurahan;1
7;Gampong Baro;1
8;Fajar Harapan;2
9;Krueng Batee;2
10;Pasi Kuala Asahan;2
11;Gunong Pulo;2
12;Pulo Ie I;2
13;Jambo Manyang;2
14;Simpang Empat;2
15;Limau Purut;2
16;Pulo Kambing;2
17;Kampung Paya;2
18;Krueng Batu;2
19;Krueng Kluet;2
20;Alur Mas;2
21;Kampung Tinggi;2
22;Ruak;2
23;Simpang Lhee;2
24;Suaq Geuringgeng;2
25;Pasi Kuala Ba'u;2
26;Kedai Padang;2
27;Kotafajar;2
28;Gunung Pudung;2
29;Suaq Bakung;3
30;Rantau Binuang;3
31;Barat Daya;3
32;Sialang;3
33;Kapeh;3
34;Pulo Ie;3
35;Kedai Runding;3
36;Kedai Kandang;3
37;Gampong Luar;3
38;Ujung;3
39;Jua;3
40;Pasi Meurapat;3
41;Ujung Pasir;3
42;Geulumbuk;3
43;Pasie Lembang;3
44;Ujung Padang;3
45;Indra Damai;3
46;Bakau Hulu;4
47;Padang Bakau;4
48;Manggis Harapan;4
49;Pasar Lama;4
50;Apha;4
51;Ujung Batu;4
52;Pawoh;4
53;Dalam;4
54;Kota Palak;4
55;Cacang;4
56;Tengah Pisang;4
57;Pisang;4
58;Hulu Pisang;4
59;Tengah Baru;4
60;Lembah Baru;4
61;Padang Baru;4
62;Kuta Buloh II;5
63;Kuta Buloh I;5
64;Ie Dingen;5
65;Drien Jalo;5
66;Jambo Papeun;5
67;Buket Meuh;5
68;Blang Kuala;5
69;Rot Teungoh;5
70;Alue Baro;5
71;Ladang Tuha;5
72;Lhok Mamplam;5
73;Arun Tunggai;5
74;Blang Teungoh;5
75;Blang Bladeh;5
76;Ie Buboh;5
77;Keude Meukek;5
78;Kuta Baro;5
79;Tanjung Harapan;5
80;Labuhan Tarok;5
81;Lhok Aman;5
82;Alue Meutuah;5
83;Ladang Baro;5
84;Labuhan Tarok II;5
85;Dalam;6
86;Subarang;6
87;Kuta Baru;6
88;Gunung Ketek;6
89;Ladang Panton Luas;6
90;Madat;6
91;Alur Seumerah;6
92;Tengah;6
93;Gunung Cut;6
94;Alur Pinang;6
95;Kuta Blang;6
96;Batee Tunggai;6
97;Ujung Tanah;6
98;Ujung Kampung;6
99;Jilatang;6
100;Luar;6
101;Lubuk Layu;6
102;Suaq Hulu;6
103;Tampang;6
104;Payonan Gadang;6
105;Gadang;6
106;Baru;6
107;Ladang Kasik Putih;6
108;Air Sialang Hilir.;6
109;Air Sialang Hulu;6
110;Air Sialang Tengah;6
111;Balai;6
112;Arafah;6
113;Sikulat;7
114;Sawang I;7
115;Meuligo;7
116;Lhok Pawoh;7
117;Sawang II;7
118;Ujung Karang;7
119;Trieng Meuduro Baroh;7
120;Trieng Meuduro Tunong;7
121;Panton Luas;7
122;Simpang Tiga;7
123;Kuta Baro;7
124;Blang Geulinggang;7
125;Mutiara;7
126;Ujung Padang;7
127;Sawang Ba'u;7
128;Lhok Keutapang;8
129;Hilir;8
130;Padang;8
131;Hulu;8
132;Jambo Apha;8
133;Tepi Air;8
134;Pasar;8
135;Lhok Bengkuang;8
136;Panton Luas;8
137;Gunung Kerambil;8
138;Air Berudang;8
139;Batu Itam;8
140;Panjupian;8
141;Lhok Rukam;8
142;Air Pinang;8
143;Lhok Bengkuang Timur;8
144;Keude Trumon;9
145;Ujong Tanoh;9
146;Sigleng;9
147;Ie Meudama;9
148;Teupin Tinggi;9
149;Kuta Baro;9
150;Panton Bilie;9
151;Kuta Padang;9
152;Raket;9
153;Gampong Teungoh;9
154;Seuneubok Jaya;9
155;Padang Harapan;9
156;Ladang Teungoh;10
157;Pucok Krueng;10
158;Silolo;10
159;Kampung Baru;10
160;Panton Bili;10
161;Paya Ateuk;10
162;Ladang Tuha;10
163;Mata Ie;10
164;Ujong Batee;10
165;Lhok Sialang Cut;10
166;Seuneubok;10
167;Ie Mirah;10
168;Pasie Rasian;10
169;Ujung Padang Rasian;10
170;Krueng Kalee;10
171;Lhok Sialang Rayeuk;10
172;Gampong Baro;10
173;Teupin Gajah;10
174;Ujung Padang Asahan;10
175;Pulo Ie II;10
176;Pante Raja;10
177;Tengah Peulumat;11
178;Paya Peulumat;11
179;Padang Peulumat;11
180;Aur Peulumat;11
181;Limau Saring;11
182;Beutong;11
183;Peuneulop;11
184;Gunung Rotan;11
185;Keumumu Hilir;11
186;Keumumu Hulu;11
187;Keumumu Seberang;11
188;Sawang Indah;11
189;Tutong;12
190;Teungoh Iboh;12
191;Peulokan;12
192;Kuta Iboh;12
193;Ujung Padang;12
194;Blang Baru;12
195;Blang Poroh;12
196;Pulo Ie;12
197;Suak Lokan;12
198;Iku Lhueng;12
199;Kuta Trieng;12
200;Pante Geulima;12
201;Panton Pawoh;12
202;Batee Meucanang;12
203;Panton Rubek;12
204;Koto;13
205;Alur Keujrun;13
206;Jambo Papan;13
207;Malaka;13
208;Koto Indarung;13
209;Siurai-Urai;13
210;Kampung Sawah;13
211;Kampung Padang;13
212;Pulo Air;13
213;Lawe Melang;13
214;Mersak;13
215;Simpang Dua;13
216;Simpang Tiga;13
217;Paya Dapur;14
218;Sapik;14
219;Alai;14
220;Durian Kawan;14
221;Lawe Sawah;14
222;Lawe Buluh Didi;14
223;Pucuk Lembang;14
224;Paya Laba;14
225;Lawe Cimanok;14
226;Pasie Seubadeh;15
227;Ladang Rimba;15
228;Ujong Pulo Rayeuk;15
229;Sawah Tingkeum;15
230;Simpang;15
231;Ujong Pulo Cut;15
232;Seuleukat;15
233;Pinto Rimba;16
234;Krueng Luas;16
235;Jambo Dalem;16
236;Kapa Sesak;16
237;Seuneubok Punto;16
238;Seuneubok Pusaka;16
239;Alur Bujok;16
240;Titi Poben;16
241;Buket Gadeng;17
242;Rambong;17
243;Seuneubok Keuranji;17
244;Seuneubok Alur Buloh;17
245;Ujong Tanoh;17
246;Ujong Gunong Cut;17
247;Ujong Gunung Rayeuk;17
248;Beutong;17
249;Jambo Keupok;17
250;Alurduamas;17
251;Ladang Rimba;18
252;Gunong Kapho;18
253;Kampong Teungoh;18
254;Krueng Batee;18
255;Pulo Paya;18
256;Jambo Papeun;18
257;Cot Bayu;18
258;Naca;18
259;Ie Jeureuneh;18
260;Lhok Raya;18
261;Engkeran;19
262;Rumah Kampung;19
263;Pasir Bangun;19
264;Kubu;19
265;Lawe Kongker;19
266;Kuta Cingkam II;19
267;Muara Baru;19
268;Kuta Batu I;19
269;Kuta Cingkam I;19
270;Kuta Batu II;19
271;Lawe Sempilang;19
272;Prapat Batu Nunggul;19
273;Pulo Sepang;19
274;Rih Mbelang;19
275;Kute Batu Baru;19
276;Darul Amin;19
277;Lawe Lubang Indah;19
278;Batu Hamparan;19
279;Paye Munje;19
280;Pulo Ndadap;19
281;Pasir Nunggul;19
282;Cingkham Mekhanggun;19
283;Pintu Khimbe;19
284;Lawe Kongker Hilir;19
285;Pulo Gadung;19
286;Pasikh Pehkmate;19
287;Pasikh Nunang;19
288;Deleng Kukusen;19
289;Bukit Merdeka;20
290;Darul Aman;20
291;Lawe Kesumpat;20
292;Lawe Tua Gabungan;20
293;Lawe Sigala II;20
294;Lawe Sigala Timur;20
295;Lawe Sigala Barat;20
296;Suka Damai;20
297;Kute Tengah;20
298;Tanah Baru;20
299;Kedataran Gabungan;20
300;Gabungan Parsaroan;20
301;Lawe Loning Gabungan;20
302;Lawe Loning Aman;20
303;Suka Maju;20
304;Lawe Tua Makmur;20
305;Lawe Tua Persatuan;20
306;Lawe Serke;20
307;Lawe Rakat;20
308;Suka Jaya;20
309;Enmiya Batu Dua Ratus;20
